>>> 使用设备: cuda
>>> 加载真实 SAbDab 数据集...
数据切分: 训练集 10619 条，验证集 1327 条，测试集 1328 条
>>> 初始化模型...

>>> 开始训练! 🚀
Epoch 1/200 | Step 0 | Train Loss: 3.5623
Epoch 1/200 | Step 50 | Train Loss: 2.8510
Epoch 1/200 | Step 100 | Train Loss: 2.8330
Epoch 1/200 | Step 150 | Train Loss: 2.3808
Epoch 1/200 | Step 200 | Train Loss: 2.1358
Epoch 1/200 | Step 250 | Train Loss: 2.2555
Epoch 1/200 | Step 300 | Train Loss: 1.5331
Epoch 1/200 | Step 350 | Train Loss: 2.5419
Epoch 1/200 | Step 400 | Train Loss: 1.7873
Epoch 1/200 | Step 450 | Train Loss: 2.3317
Epoch 1/200 | Step 500 | Train Loss: 2.6074
Epoch 1/200 | Step 550 | Train Loss: 1.5721
Epoch 1/200 | Step 600 | Train Loss: 2.0390
Epoch 1/200 | Step 650 | Train Loss: 2.3844
Epoch 1/200 | Step 700 | Train Loss: 2.6537
Epoch 1/200 | Step 750 | Train Loss: 1.9782
Epoch 1/200 | Step 800 | Train Loss: 1.5636
Epoch 1/200 | Step 850 | Train Loss: 1.6557
Epoch 1/200 | Step 900 | Train Loss: 1.1634
Epoch 1/200 | Step 950 | Train Loss: 1.5465
Epoch 1/200 | Step 1000 | Train Loss: 1.3813
Epoch 1/200 | Step 1050 | Train Loss: 1.7448
Epoch 1/200 | Step 1100 | Train Loss: 1.3385
Epoch 1/200 | Step 1150 | Train Loss: 0.9720
Epoch 1/200 | Step 1200 | Train Loss: 2.9790
Epoch 1/200 | Step 1250 | Train Loss: 1.8615
Epoch 1/200 | Step 1300 | Train Loss: 1.2585
Epoch 1/200 | Step 1350 | Train Loss: 1.2515
Epoch 1/200 | Step 1400 | Train Loss: 1.2296
Epoch 1/200 | Step 1450 | Train Loss: 1.4064
Epoch 1/200 | Step 1500 | Train Loss: 2.1207
Epoch 1/200 | Step 1550 | Train Loss: 2.2349
Epoch 1/200 | Step 1600 | Train Loss: 2.3283
Epoch 1/200 | Step 1650 | Train Loss: 1.9745
Epoch 1/200 | Step 1700 | Train Loss: 1.2721
Epoch 1/200 | Step 1750 | Train Loss: 1.0258
Epoch 1/200 | Step 1800 | Train Loss: 1.9527
Epoch 1/200 | Step 1850 | Train Loss: 0.9917
Epoch 1/200 | Step 1900 | Train Loss: 1.7747
Epoch 1/200 | Step 1950 | Train Loss: 1.6482
Epoch 1/200 | Step 2000 | Train Loss: 2.1577
Epoch 1/200 | Step 2050 | Train Loss: 0.9700
Epoch 1/200 | Step 2100 | Train Loss: 1.0086
Epoch 1/200 | Step 2150 | Train Loss: 1.8071
Epoch 1/200 | Step 2200 | Train Loss: 0.9628
Epoch 1/200 | Step 2250 | Train Loss: 1.1897
Epoch 1/200 | Step 2300 | Train Loss: 1.9825
Epoch 1/200 | Step 2350 | Train Loss: 2.3910
Epoch 1/200 | Step 2400 | Train Loss: 1.3165
Epoch 1/200 | Step 2450 | Train Loss: 0.9669
Epoch 1/200 | Step 2500 | Train Loss: 0.7404
Epoch 1/200 | Step 2550 | Train Loss: 2.8842
Epoch 1/200 | Step 2600 | Train Loss: 1.5744
Epoch 1/200 | Step 2650 | Train Loss: 0.8244
==> Epoch 1 结束. 平均训练 Loss: 1.7658 | 验证集 Loss: 1.4770
💾 验证集 Loss 改善为 1.4770，已保存当前最优模型！
Epoch 2/200 | Step 0 | Train Loss: 2.4084
Epoch 2/200 | Step 50 | Train Loss: 1.1605
Epoch 2/200 | Step 100 | Train Loss: 1.2007
Epoch 2/200 | Step 150 | Train Loss: 1.5821
Epoch 2/200 | Step 200 | Train Loss: 1.6705
Epoch 2/200 | Step 250 | Train Loss: 0.7678
Epoch 2/200 | Step 300 | Train Loss: 0.8469
Epoch 2/200 | Step 350 | Train Loss: 1.1814
Epoch 2/200 | Step 400 | Train Loss: 1.6911
Epoch 2/200 | Step 450 | Train Loss: 2.2360
Epoch 2/200 | Step 500 | Train Loss: 0.8873
Epoch 2/200 | Step 550 | Train Loss: 1.6134
Epoch 2/200 | Step 600 | Train Loss: 1.4099
Epoch 2/200 | Step 650 | Train Loss: 2.0522
Epoch 2/200 | Step 700 | Train Loss: 0.9295
Epoch 2/200 | Step 750 | Train Loss: 1.8915
Epoch 2/200 | Step 800 | Train Loss: 1.9500
Epoch 2/200 | Step 850 | Train Loss: 1.0423
Epoch 2/200 | Step 900 | Train Loss: 1.1075
Epoch 2/200 | Step 950 | Train Loss: 2.8819
Epoch 2/200 | Step 1000 | Train Loss: 0.7861
Epoch 2/200 | Step 1050 | Train Loss: 1.6411
Epoch 2/200 | Step 1100 | Train Loss: 2.4846
Epoch 2/200 | Step 1150 | Train Loss: 1.1290
Epoch 2/200 | Step 1200 | Train Loss: 0.6240
Epoch 2/200 | Step 1250 | Train Loss: 2.9120
Epoch 2/200 | Step 1300 | Train Loss: 2.0485
Epoch 2/200 | Step 1350 | Train Loss: 1.2973
Epoch 2/200 | Step 1400 | Train Loss: 1.2018
Epoch 2/200 | Step 1450 | Train Loss: 3.0325
Epoch 2/200 | Step 1500 | Train Loss: 1.8032
Epoch 2/200 | Step 1550 | Train Loss: 0.5258
Epoch 2/200 | Step 1600 | Train Loss: 0.8107
Epoch 2/200 | Step 1650 | Train Loss: 1.7471
Epoch 2/200 | Step 1700 | Train Loss: 0.8132
Epoch 2/200 | Step 1750 | Train Loss: 1.1141
Epoch 2/200 | Step 1800 | Train Loss: 0.8246
Epoch 2/200 | Step 1850 | Train Loss: 1.4656
Epoch 2/200 | Step 1900 | Train Loss: 0.8782
Epoch 2/200 | Step 1950 | Train Loss: 1.0777
Epoch 2/200 | Step 2000 | Train Loss: 1.4971
Epoch 2/200 | Step 2050 | Train Loss: 0.8261
Epoch 2/200 | Step 2100 | Train Loss: 0.5847
Epoch 2/200 | Step 2150 | Train Loss: 0.7326
Epoch 2/200 | Step 2200 | Train Loss: 1.1989
Epoch 2/200 | Step 2250 | Train Loss: 1.0892
Epoch 2/200 | Step 2300 | Train Loss: 1.2471
Epoch 2/200 | Step 2350 | Train Loss: 1.2864
Epoch 2/200 | Step 2400 | Train Loss: 1.7256
Epoch 2/200 | Step 2450 | Train Loss: 0.6964
Epoch 2/200 | Step 2500 | Train Loss: 0.9053
Epoch 2/200 | Step 2550 | Train Loss: 0.8124
Epoch 2/200 | Step 2600 | Train Loss: 2.3923
Epoch 2/200 | Step 2650 | Train Loss: 0.7361
==> Epoch 2 结束. 平均训练 Loss: 1.4203 | 验证集 Loss: 1.2747
💾 验证集 Loss 改善为 1.2747，已保存当前最优模型！
Epoch 3/200 | Step 0 | Train Loss: 0.9205
Epoch 3/200 | Step 50 | Train Loss: 0.7338
Epoch 3/200 | Step 100 | Train Loss: 1.5138
Epoch 3/200 | Step 150 | Train Loss: 0.7820
Epoch 3/200 | Step 200 | Train Loss: 0.7107
Epoch 3/200 | Step 250 | Train Loss: 1.6054
Epoch 3/200 | Step 300 | Train Loss: 0.8073
Epoch 3/200 | Step 350 | Train Loss: 1.9352
Epoch 3/200 | Step 400 | Train Loss: 0.7495
Epoch 3/200 | Step 450 | Train Loss: 1.6872
Epoch 3/200 | Step 500 | Train Loss: 1.6924
Epoch 3/200 | Step 550 | Train Loss: 1.2432
Epoch 3/200 | Step 600 | Train Loss: 0.7310
Epoch 3/200 | Step 650 | Train Loss: 1.6465
Epoch 3/200 | Step 700 | Train Loss: 0.6196
Epoch 3/200 | Step 750 | Train Loss: 0.6014
Epoch 3/200 | Step 800 | Train Loss: 0.9173
Epoch 3/200 | Step 850 | Train Loss: 1.6145
Epoch 3/200 | Step 900 | Train Loss: 0.9356
Epoch 3/200 | Step 950 | Train Loss: 0.6042
Epoch 3/200 | Step 1000 | Train Loss: 1.5459
Epoch 3/200 | Step 1050 | Train Loss: 0.9893
Epoch 3/200 | Step 1100 | Train Loss: 0.8600
Epoch 3/200 | Step 1150 | Train Loss: 0.7601
Epoch 3/200 | Step 1200 | Train Loss: 1.0965
Epoch 3/200 | Step 1250 | Train Loss: 1.0451
Epoch 3/200 | Step 1300 | Train Loss: 0.7640
Epoch 3/200 | Step 1350 | Train Loss: 0.9321
Epoch 3/200 | Step 1400 | Train Loss: 1.8599
Epoch 3/200 | Step 1450 | Train Loss: 1.4398
Epoch 3/200 | Step 1500 | Train Loss: 2.0316
Epoch 3/200 | Step 1550 | Train Loss: 1.8202
Epoch 3/200 | Step 1600 | Train Loss: 0.8599
Epoch 3/200 | Step 1650 | Train Loss: 1.7105
Epoch 3/200 | Step 1700 | Train Loss: 1.0247
Epoch 3/200 | Step 1750 | Train Loss: 2.5269
Epoch 3/200 | Step 1800 | Train Loss: 0.9539
Epoch 3/200 | Step 1850 | Train Loss: 2.2403
Epoch 3/200 | Step 1900 | Train Loss: 1.2260
Epoch 3/200 | Step 1950 | Train Loss: 1.9053
Epoch 3/200 | Step 2000 | Train Loss: 1.6179
Epoch 3/200 | Step 2050 | Train Loss: 0.8571
Epoch 3/200 | Step 2100 | Train Loss: 1.6125
Epoch 3/200 | Step 2150 | Train Loss: 1.9358
Epoch 3/200 | Step 2200 | Train Loss: 1.9300
Epoch 3/200 | Step 2250 | Train Loss: 1.0813
Epoch 3/200 | Step 2300 | Train Loss: 1.1185
Epoch 3/200 | Step 2350 | Train Loss: 0.6014
Epoch 3/200 | Step 2400 | Train Loss: 0.7009
Epoch 3/200 | Step 2450 | Train Loss: 0.8527
Epoch 3/200 | Step 2500 | Train Loss: 1.1621
Epoch 3/200 | Step 2550 | Train Loss: 1.2105
Epoch 3/200 | Step 2600 | Train Loss: 1.4972
Epoch 3/200 | Step 2650 | Train Loss: 1.4721
==> Epoch 3 结束. 平均训练 Loss: 1.3264 | 验证集 Loss: 1.2235
💾 验证集 Loss 改善为 1.2235，已保存当前最优模型！
Epoch 4/200 | Step 0 | Train Loss: 0.7273
Epoch 4/200 | Step 50 | Train Loss: 0.6535
Epoch 4/200 | Step 100 | Train Loss: 1.8369
Epoch 4/200 | Step 150 | Train Loss: 0.8263
Epoch 4/200 | Step 200 | Train Loss: 0.7349
Epoch 4/200 | Step 250 | Train Loss: 0.7214
Epoch 4/200 | Step 300 | Train Loss: 1.5542
Epoch 4/200 | Step 350 | Train Loss: 1.6036
Epoch 4/200 | Step 400 | Train Loss: 2.1723
Epoch 4/200 | Step 450 | Train Loss: 1.4078
Epoch 4/200 | Step 500 | Train Loss: 1.0771
Epoch 4/200 | Step 550 | Train Loss: 1.1198
Epoch 4/200 | Step 600 | Train Loss: 1.5273
Epoch 4/200 | Step 650 | Train Loss: 0.9633
Epoch 4/200 | Step 700 | Train Loss: 1.3646
Epoch 4/200 | Step 750 | Train Loss: 1.9057
Epoch 4/200 | Step 800 | Train Loss: 0.5731
Epoch 4/200 | Step 850 | Train Loss: 0.7696
Epoch 4/200 | Step 900 | Train Loss: 1.0955
Epoch 4/200 | Step 950 | Train Loss: 1.4166
Epoch 4/200 | Step 1000 | Train Loss: 0.7403
Epoch 4/200 | Step 1050 | Train Loss: 1.8967
Epoch 4/200 | Step 1100 | Train Loss: 0.6172
Epoch 4/200 | Step 1150 | Train Loss: 1.7111
Epoch 4/200 | Step 1200 | Train Loss: 1.8446
Epoch 4/200 | Step 1250 | Train Loss: 0.6326
Epoch 4/200 | Step 1300 | Train Loss: 1.7383
Epoch 4/200 | Step 1350 | Train Loss: 1.2811
Epoch 4/200 | Step 1400 | Train Loss: 0.8124
Epoch 4/200 | Step 1450 | Train Loss: 0.7032
Epoch 4/200 | Step 1500 | Train Loss: 1.4482
Epoch 4/200 | Step 1550 | Train Loss: 2.2659
Epoch 4/200 | Step 1600 | Train Loss: 0.7497
Epoch 4/200 | Step 1650 | Train Loss: 0.8740
Epoch 4/200 | Step 1700 | Train Loss: 1.6960
Epoch 4/200 | Step 1750 | Train Loss: 1.0290
Epoch 4/200 | Step 1800 | Train Loss: 0.5886
Epoch 4/200 | Step 1850 | Train Loss: 1.8208
Epoch 4/200 | Step 1900 | Train Loss: 1.3578
Epoch 4/200 | Step 1950 | Train Loss: 0.9350
Epoch 4/200 | Step 2000 | Train Loss: 1.6919
Epoch 4/200 | Step 2050 | Train Loss: 2.0695
Epoch 4/200 | Step 2100 | Train Loss: 1.9286
Epoch 4/200 | Step 2150 | Train Loss: 1.2254
Epoch 4/200 | Step 2200 | Train Loss: 0.7258
Epoch 4/200 | Step 2250 | Train Loss: 0.8111
Epoch 4/200 | Step 2300 | Train Loss: 1.5038
Epoch 4/200 | Step 2350 | Train Loss: 1.2002
Epoch 4/200 | Step 2400 | Train Loss: 1.6055
Epoch 4/200 | Step 2450 | Train Loss: 1.8299
Epoch 4/200 | Step 2500 | Train Loss: 0.6210
Epoch 4/200 | Step 2550 | Train Loss: 0.7307
Epoch 4/200 | Step 2600 | Train Loss: 2.1920
Epoch 4/200 | Step 2650 | Train Loss: 2.7374
