>>> 使用设备: cuda
>>> 加载真实 SAbDab 数据集...
数据切分: 训练集 10619 条，验证集 1327 条，测试集 1328 条
>>> 初始化模型...

>>> 开始训练! 🚀
Epoch 2/200 | Step 2600 | Train Loss: 0.7679
Epoch 2/200 | Step 2650 | Train Loss: 1.5020
==> Epoch 2 结束. 平均训练 Loss: 1.4458 | 验证集 Loss: 1.2620
💾 验证集 Loss 改善为 1.2620，已保存当前最优模型！
Epoch 3/200 | Step 0 | Train Loss: 0.8676
Epoch 3/200 | Step 50 | Train Loss: 0.5610
Epoch 3/200 | Step 100 | Train Loss: 1.7590
Epoch 3/200 | Step 150 | Train Loss: 1.2163
Epoch 3/200 | Step 200 | Train Loss: 1.1412
Epoch 3/200 | Step 250 | Train Loss: 0.8475
Epoch 3/200 | Step 300 | Train Loss: 1.3352
Epoch 3/200 | Step 350 | Train Loss: 0.7586
Epoch 3/200 | Step 400 | Train Loss: 1.1207
Epoch 3/200 | Step 450 | Train Loss: 0.8949
Epoch 3/200 | Step 500 | Train Loss: 1.6461
Epoch 3/200 | Step 550 | Train Loss: 1.8852
Epoch 3/200 | Step 600 | Train Loss: 0.7779
Epoch 3/200 | Step 650 | Train Loss: 0.8371
Epoch 3/200 | Step 700 | Train Loss: 0.7467
Epoch 3/200 | Step 750 | Train Loss: 0.8412
Epoch 3/200 | Step 800 | Train Loss: 2.8871
Epoch 3/200 | Step 850 | Train Loss: 0.8266
Epoch 3/200 | Step 900 | Train Loss: 1.3655
Epoch 3/200 | Step 950 | Train Loss: 1.6091
Epoch 3/200 | Step 1000 | Train Loss: 1.4077
Epoch 3/200 | Step 1050 | Train Loss: 2.4224
Epoch 3/200 | Step 1100 | Train Loss: 1.2893
Epoch 3/200 | Step 1150 | Train Loss: 0.6655
Epoch 3/200 | Step 1200 | Train Loss: 1.7325
Epoch 3/200 | Step 1250 | Train Loss: 1.3682
Epoch 3/200 | Step 1300 | Train Loss: 0.9349
Epoch 3/200 | Step 1350 | Train Loss: 1.8797
Epoch 3/200 | Step 1400 | Train Loss: 0.6702
Epoch 3/200 | Step 1450 | Train Loss: 0.8602
Epoch 3/200 | Step 1500 | Train Loss: 1.5616
Epoch 3/200 | Step 1550 | Train Loss: 1.1232
Epoch 3/200 | Step 1600 | Train Loss: 1.3374
Epoch 3/200 | Step 1650 | Train Loss: 1.3340
Epoch 3/200 | Step 1700 | Train Loss: 2.1610
Epoch 3/200 | Step 1750 | Train Loss: 1.2021
Epoch 3/200 | Step 1800 | Train Loss: 1.0402
Epoch 3/200 | Step 1850 | Train Loss: 1.1116
Epoch 3/200 | Step 1900 | Train Loss: 1.0321
Epoch 3/200 | Step 1950 | Train Loss: 1.3896
Epoch 3/200 | Step 2000 | Train Loss: 1.6145
Epoch 3/200 | Step 2050 | Train Loss: 1.9043
Epoch 3/200 | Step 2100 | Train Loss: 1.5326
Epoch 3/200 | Step 2150 | Train Loss: 1.5617
Epoch 3/200 | Step 2200 | Train Loss: 2.3655
Epoch 3/200 | Step 2250 | Train Loss: 0.6736
Epoch 3/200 | Step 2300 | Train Loss: 0.9945
Epoch 3/200 | Step 2350 | Train Loss: 1.0047
Epoch 3/200 | Step 2400 | Train Loss: 0.9366
Epoch 3/200 | Step 2450 | Train Loss: 1.2741
Epoch 3/200 | Step 2500 | Train Loss: 1.3535
Epoch 3/200 | Step 2550 | Train Loss: 0.8868
Epoch 3/200 | Step 2600 | Train Loss: 1.0159
Epoch 3/200 | Step 2650 | Train Loss: 0.7169
==> Epoch 3 结束. 平均训练 Loss: 1.2471 | 验证集 Loss: 1.1138
💾 验证集 Loss 改善为 1.1138，已保存当前最优模型！
Epoch 4/200 | Step 0 | Train Loss: 0.6522
Epoch 4/200 | Step 50 | Train Loss: 1.8835
Epoch 4/200 | Step 100 | Train Loss: 1.0837
Epoch 4/200 | Step 150 | Train Loss: 1.1660
Epoch 4/200 | Step 200 | Train Loss: 1.5957
Epoch 4/200 | Step 250 | Train Loss: 1.4854
Epoch 4/200 | Step 300 | Train Loss: 1.0788
Epoch 4/200 | Step 350 | Train Loss: 0.8499
Epoch 4/200 | Step 400 | Train Loss: 0.7761
Epoch 4/200 | Step 450 | Train Loss: 0.9845
Epoch 4/200 | Step 500 | Train Loss: 2.2988
Epoch 4/200 | Step 550 | Train Loss: 0.8651
Epoch 4/200 | Step 600 | Train Loss: 1.0208
Epoch 4/200 | Step 650 | Train Loss: 0.7647
Epoch 4/200 | Step 700 | Train Loss: 0.7808
Epoch 4/200 | Step 750 | Train Loss: 1.4222
Epoch 4/200 | Step 800 | Train Loss: 1.2557
Epoch 4/200 | Step 850 | Train Loss: 1.1496
Epoch 4/200 | Step 900 | Train Loss: 0.5099
Epoch 4/200 | Step 950 | Train Loss: 2.1484
Epoch 4/200 | Step 1000 | Train Loss: 1.0134
Epoch 4/200 | Step 1050 | Train Loss: 1.7755
Epoch 4/200 | Step 1100 | Train Loss: 0.5235
Epoch 4/200 | Step 1150 | Train Loss: 1.8842
Epoch 4/200 | Step 1200 | Train Loss: 1.1660
Epoch 4/200 | Step 1250 | Train Loss: 0.6160
Epoch 4/200 | Step 1300 | Train Loss: 0.9820
Epoch 4/200 | Step 1350 | Train Loss: 1.0222
Epoch 4/200 | Step 1400 | Train Loss: 1.3638
Epoch 4/200 | Step 1450 | Train Loss: 0.8342
Epoch 4/200 | Step 1500 | Train Loss: 1.2630
Epoch 4/200 | Step 1550 | Train Loss: 0.7140
Epoch 4/200 | Step 1600 | Train Loss: 0.7957
Epoch 4/200 | Step 1650 | Train Loss: 1.3224
Epoch 4/200 | Step 1700 | Train Loss: 0.4543
Epoch 4/200 | Step 1750 | Train Loss: 0.4906
Epoch 4/200 | Step 1800 | Train Loss: 1.0237
Epoch 4/200 | Step 1850 | Train Loss: 0.6613
Epoch 4/200 | Step 1900 | Train Loss: 0.6841
Epoch 4/200 | Step 1950 | Train Loss: 1.3216
Epoch 4/200 | Step 2000 | Train Loss: 1.3201
Epoch 4/200 | Step 2050 | Train Loss: 0.7012
Epoch 4/200 | Step 2100 | Train Loss: 0.8037
Epoch 4/200 | Step 2150 | Train Loss: 1.0302
Epoch 4/200 | Step 2200 | Train Loss: 1.1669
Epoch 4/200 | Step 2250 | Train Loss: 0.7130
Epoch 4/200 | Step 2300 | Train Loss: 1.6369
Epoch 4/200 | Step 2350 | Train Loss: 1.3878
Epoch 4/200 | Step 2400 | Train Loss: 0.8414
Epoch 4/200 | Step 2450 | Train Loss: 0.9185
Epoch 4/200 | Step 2500 | Train Loss: 0.7962
Epoch 4/200 | Step 2550 | Train Loss: 0.8915
Epoch 4/200 | Step 2600 | Train Loss: 1.4917
Epoch 4/200 | Step 2650 | Train Loss: 1.0724
==> Epoch 4 结束. 平均训练 Loss: 1.1268 | 验证集 Loss: 1.0069
💾 验证集 Loss 改善为 1.0069，已保存当前最优模型！
Epoch 5/200 | Step 0 | Train Loss: 0.7183
Epoch 5/200 | Step 50 | Train Loss: 0.9817
Epoch 5/200 | Step 100 | Train Loss: 0.6694
Epoch 5/200 | Step 150 | Train Loss: 0.6211
Epoch 5/200 | Step 200 | Train Loss: 0.8204
Epoch 5/200 | Step 250 | Train Loss: 0.8679
Epoch 5/200 | Step 300 | Train Loss: 0.6885
Epoch 5/200 | Step 350 | Train Loss: 1.9599
Epoch 5/200 | Step 400 | Train Loss: 2.0566
Epoch 5/200 | Step 450 | Train Loss: 1.1254
Epoch 5/200 | Step 500 | Train Loss: 0.6692
Epoch 5/200 | Step 550 | Train Loss: 0.7551
Epoch 5/200 | Step 600 | Train Loss: 2.1762
Epoch 5/200 | Step 650 | Train Loss: 1.2073
Epoch 5/200 | Step 700 | Train Loss: 0.7370
Epoch 5/200 | Step 750 | Train Loss: 1.0845
Epoch 5/200 | Step 800 | Train Loss: 1.5778
Epoch 5/200 | Step 850 | Train Loss: 2.0084
Epoch 5/200 | Step 900 | Train Loss: 0.9819
Epoch 5/200 | Step 950 | Train Loss: 0.5023
Epoch 5/200 | Step 1000 | Train Loss: 0.7364
Epoch 5/200 | Step 1050 | Train Loss: 0.5883
Epoch 5/200 | Step 1100 | Train Loss: 0.3933
Epoch 5/200 | Step 1150 | Train Loss: 1.6043
Epoch 5/200 | Step 1200 | Train Loss: 0.7315
Epoch 5/200 | Step 1250 | Train Loss: 0.7285
Epoch 5/200 | Step 1300 | Train Loss: 1.2432
Epoch 5/200 | Step 1350 | Train Loss: 0.6218
Epoch 5/200 | Step 1400 | Train Loss: 2.3258
Epoch 5/200 | Step 1450 | Train Loss: 0.8601
Epoch 5/200 | Step 1500 | Train Loss: 0.7436
Epoch 5/200 | Step 1550 | Train Loss: 1.2551
Epoch 5/200 | Step 1600 | Train Loss: 0.8783
Epoch 5/200 | Step 1650 | Train Loss: 0.7320
Epoch 5/200 | Step 1700 | Train Loss: 1.1474
Epoch 5/200 | Step 1750 | Train Loss: 0.7116
Epoch 5/200 | Step 1800 | Train Loss: 2.5437
Epoch 5/200 | Step 1850 | Train Loss: 1.1283
Epoch 5/200 | Step 1900 | Train Loss: 1.0078
Epoch 5/200 | Step 1950 | Train Loss: 0.7453
Epoch 5/200 | Step 2000 | Train Loss: 0.4703
Epoch 5/200 | Step 2050 | Train Loss: 0.9879
Epoch 5/200 | Step 2100 | Train Loss: 0.6272
Epoch 5/200 | Step 2150 | Train Loss: 1.0229
Epoch 5/200 | Step 2200 | Train Loss: 0.7190
Epoch 5/200 | Step 2250 | Train Loss: 0.8140
Epoch 5/200 | Step 2300 | Train Loss: 0.8701
Epoch 5/200 | Step 2350 | Train Loss: 0.7494
Epoch 5/200 | Step 2400 | Train Loss: 1.4570
Epoch 5/200 | Step 2450 | Train Loss: 1.4087
Epoch 5/200 | Step 2500 | Train Loss: 0.6886
Epoch 5/200 | Step 2550 | Train Loss: 1.9453
Epoch 5/200 | Step 2600 | Train Loss: 0.6088
Epoch 5/200 | Step 2650 | Train Loss: 0.5658
==> Epoch 5 结束. 平均训练 Loss: 1.0442 | 验证集 Loss: 0.9571
💾 验证集 Loss 改善为 0.9571，已保存当前最优模型！
Epoch 6/200 | Step 0 | Train Loss: 0.6098
